 20      87 false  true
  0    33
  1    24
  2    15
  3    14
  4    34
  5    79
  6    24
  7    65
  8     4
  9    92
 10    24
 11    62
 12    38
 13    38
 14    13
 15    78
 16    90
 17    13
 18     6
 19    49
  0   17     1
  1    0     1
  1    4     1
  1   14     1
  2    1     1
  2    5     1
  2   10     1
  2   11     1
  2   19     1
  3    1     1
  3    6     1
  4    5     1
  4    8     1
  4    9     1
  4   13     1
  4   16     1
  4   17     1
  5    2     1
  5    3     1
  5    7     1
  5    9     1
  5   18     1
  6    4     1
  6    5     1
  6    8     1
  6    9     1
  6   10     1
  6   11     1
  6   12     1
  6   13     1
  6   15     1
  6   17     1
  7    2     1
  7    5     1
  7   15     1
  8    1     1
  8    6     1
  8   12     1
  8   18     1
  9    4     1
  9   15     1
  9   18     1
 10    3     1
 10   15     1
 11    0     1
 11    5     1
 11   18     1
 12    2     1
 12    5     1
 12    6     1
 12   10     1
 12   11     1
 12   13     1
 12   15     1
 12   16     1
 12   19     1
 13    4     1
 13    7     1
 13   11     1
 13   12     1
 13   14     1
 13   17     1
 14   11     1
 14   13     1
 14   17     1
 15    0     1
 15    1     1
 15    3     1
 15    5     1
 16    1     1
 16    2     1
 16   10     1
 16   11     1
 16   13     1
 16   15     1
 17    1     1
 17    2     1
 17    6     1
 17   16     1
 17   19     1
 18    6     1
 18    8     1
 18   12     1
 19    2     1
 19    9     1
 19   13     1
 19   15     1
